MCC,noga4,noga3,noga2,our_code,our_category,Description,General Merchant Category Codes,Valid Payment Brand(s)
5021,4759,475,47,OR,Retail: Other goods,Office and Commercial Furniture,Retail Outlet Services,"V, M"
5013,4531;4532,453,45,MV,Motor Vehicles,Motor Vehicle Supplies and New Parts,Retail Outlet Services,"V, M"
4900,3511;3512;3513;3521;3522;3900;3600,351,35,999,Other,"Utilities–Electric, Gas, Heating Oil, Sanitary, Water",Utility Services,"V, M"
4899,6010;6020;6130,601,60,ENT,Entertainment & Sports,"Cable, Satellite, and Other Pay Television and Radio
Services",Utility Services,"V, M"
4829,6419;6491,641,64,999,Other,"Wire Transfer Money Orders (V, D, G, X)
Money Transfer (M)",Utility Services,"V, M"
4821,6110,611,61,PRS,Professional Services,Telegraph Services,Utility Services,"V, M"
4816,6399;6312,639,63,PRS,Professional Services,Computer Network/Information Services,Utility Services,"V, M"
4814,6110,611,61,PRS,Professional Services,"Telecommunication Services including but not
limited to prepaid phone services and recurring
phone services",Utility Services,"V, M"
4813,6120;6130;4742;4652,612,61,PRS,Professional Services,"Key-Entry Telecom Merchant providing single
local and long-distance phone calls using a central
access number in a non-face-to-face environment
using key entry",Utility Services,M
4812,4742,474,47,OR,Retail: Other goods,"Telecommunication Equipment Including Telephone
Sales",Utility Services,"V, M"
4789,4939,493,49,TS,Transport Services,Transportation Services Not Elsewhere Classified,Transportation Services,"V, M"
4784,5221,522,52,TS,Transport Services,"Bridge and Road Fees, Tolls",Transportation Services,"V, M"
4722,7911;7912,791,79,PRS,Professional Services,Travel Agencies and Tour Operators,Transportation Services,"V, M"
4582,5223,522,52,TS,Transport Services,"Airports, Airport Terminals, Flying Fields",Transportation Services,"V, M"
4511,5110,511,51,TS,Transport Services,"Air Carriers, Airlines–not elsewhere classified",Transportation Services,"V, M"
4468,5222;9329,522,52,TS,Transport Services,"Marinas, Marine Service/Supplies",Transportation Services,"V, M"
4457,7734,773,77,TS,Transport Services,Boat Leases and Boat Rentals,Transportation Services,"V, M"
4411,5010,501,50,TS,Transport Services,Cruise Lines,Transportation Services,"V, M"
4225,5210,521,52,TS,Transport Services,"Public Warehousing–Farm Products, Refrigerated
Goods, Household Goods Storage",Transportation Services,"V, M"
4215,5320,532,53,TS,Transport Services,"Courier Services–Air and Ground, Freight Forwarders",Transportation Services,"V, M"
4214,4941,494,49,TS,Transport Services,"Motor Freight Carriers,Trucking–Local/Long Distance,
Moving and Storage Companies, Local Delivery",Transportation Services,"V, M"
4131,4931,493,49,TS,Transport Services,Bus Lines,Transportation Services,"V, M"
4121,4932,493,49,TS,Transport Services,Taxicabs and Limousines,Transportation Services,"V, M"
4119,8690,869,86,HHS,Human Health Services,Ambulance Services,Transportation Services,"V, M"
4112,4910,491,49,TS,Transport Services,Passenger Railways,Transportation Services,"V, M"
4111,4931;4939;4941,493,49,TS,Transport Services,"Transportation–Suburban and Local Commuter
Passenger, including Ferries",Transportation Services,"V, M"
4011,4920,492,49,TS,Transport Services,Railroads–Freight,Transportation Services,"V, M"
3831,5510,551,55,ACC,Accomodation,Waldorf,Lodging,"V, M"
3830,5510,551,55,ACC,Accomodation,Park Plaza Hotel,Lodging,"V, M"
3829,5510,551,55,ACC,Accomodation,Country Inn By Carlson,Lodging,"V, M"
3828,5510,551,55,ACC,Accomodation,Cosmopolitan of Las Vegas,Lodging,"V, M"
3827,5510,551,55,ACC,Accomodation,Galt House,Lodging,"V, M"
3826,5510,551,55,ACC,Accomodation,Autograph,Lodging,"V, M"
3825,5510,551,55,ACC,Accomodation,Vdara,Lodging,"V, M"
3824,5510,551,55,ACC,Accomodation,Aria,Lodging,"V, M"
